ratio_A,ratio_B,ratio_C,ratio_D,ratio_E,Time,crystallized,diffusion,Lewis-base,Lewis-acid,topology,halogen-bond,π-stacking,anion-π,cation-π,hydrogen-bond,adsorption,crystallized_citydistance,Gibbis  free energy ΔG,reorganization,activation-energy,exciton,dipoles,averageC_Cbondlength,max_distance,distance_functiongroup_moleculecenter,total dipole moment,α-homo,α-lumo,α-gap,main_chain_angle,polaron_Euclidean distance,bipolaron_Euclidean distance,stability
0.55,0.4,0.025,0.025,0,200,0.62264488,0.46659015,0.95995774,0.80293554,0.152800474,0.68854797,0.54605631,0.4867477,0.56089263,0.57642779,0.58594942,95.303272,0.67319049,0.3743017,0.49668563,0.40357805,0.34317493,2.8385,9.457,6.722,4.111177321,-13.28459818,-0.753755366,12.53084282,240.008,9.1369137,9.379735,1
0.55,0.4,0.025,0.025,0,200,0.517863,0.47344544,0.86156797,0.76159148,0.19325364,0.70601388,0.42755933,0.53670929,0.48258081,0.50154264,0.44419056,105.065804,0.55254033,0.58696838,0.24811137,0.32748918,0.29478866,3.004,6.263,3.3095,7.950850314,-13.76351856,1.017705801,14.78122436,233.021,10.1007234,10.1571737,0
0.55,0.4,0.025,0.025,0,200,0.51489257,0.50586434,0.88410605,0.89112096,0.23102928,0.6643252,0.40537403,0.41994436,0.4950826,0.55828182,0.44295458,105.963228,0.34148052,0.41472813,0.32649121,0.29438945,0.26314906,1.519,5.659,0.808,2.41057691,-12.65057291,11.22741747,9.646436,219.981,10.545589,10.673373,0
0.55,0.4,0.025,0.025,0,200,0.51711887,0.39827912,0.74316278,0.64898377,0.103331044,0.61668843,0.40159934,0.42147064,0.35376899,0.47940514,0.4362936,105.660798,0.46221898,0.57782307,0.22898396,0.25164382,0.34441312,2.836,6.008,4.61,6.466198002,-12.97710953,0.639467549,13.61657708,224.924,10.7877622,10.7802575,1
0.55,0.4,0.025,0.025,0,200,0.61704867,0.57014611,0.9030468,0.80237531,0.18299841,0.64277823,0.44427201,0.38114765,0.3647162,0.42011218,0.51679886,96.533436,0.50598933,0.37360154,0.38535211,0.218375385,0.194771875,2.9605,7.08,2.416,1.568186126,-13.32269412,1.308867621,14.63156174,229.034,9.6637621,9.7526536,1
0.72,0.24,0.02,0.01,0.01,200,0.93341607,0.78706659,1.4539522,1.26062211,0.27214423,0.99035208,0.68552972,0.65797135,0.6641617,0.73509284,0.86238012,140.100506,0.94216936,0.6147123,0.72170351,0.440944415,0.356937785,4.404,12.019,6.015,3.083008121,-19.86975336,1.202743219,21.07249658,349.039,13.8015218,13.9872086,1
0.72,0.24,0.02,0.01,0.01,50,0.93341607,0.78706659,1.4539522,1.26062211,0.27214423,0.99035208,0.68552972,0.65797135,0.6641617,0.73509284,0.86238012,140.100506,0.94216936,0.6147123,0.72170351,0.440944415,0.356937785,4.404,12.019,6.015,3.083008121,-19.86975336,1.202743219,21.07249658,349.039,13.8015218,13.9872086,1
0.72,0.24,0.02,0.01,0.01,100,0.93341607,0.78706659,1.4539522,1.26062211,0.27214423,0.99035208,0.68552972,0.65797135,0.6641617,0.73509284,0.86238012,140.100506,0.94216936,0.6147123,0.72170351,0.440944415,0.356937785,4.404,12.019,6.015,3.083008121,-19.86975336,1.202743219,21.07249658,349.039,13.8015218,13.9872086,1
0.72,0.24,0.02,0.01,0.01,150,0.93341607,0.78706659,1.4539522,1.26062211,0.27214423,0.99035208,0.68552972,0.65797135,0.6641617,0.73509284,0.86238012,140.100506,0.94216936,0.6147123,0.72170351,0.440944415,0.356937785,4.404,12.019,6.015,3.083008121,-19.86975336,1.202743219,21.07249658,349.039,13.8015218,13.9872086,1
0.6,0.32,0.1,0.1,0.2,200,0.8874162,0.71940921,1.3277095,1.15106028,0.194814724,0.97650908,0.6800894,0.71629442,0.67844644,0.87501373,0.81150356,153.604611,0.9286543,0.76887346,0.58786834,0.47515073,0.4839134,4.218,12.666,6.979,5.546942158,-19.23572809,0.949677338,20.18540543,348.197,15.0085635,15.1036453,0
0.6,0.32,0.1,0.1,0.2,150,0.8874162,0.71940921,1.3277095,1.15106028,0.194814724,0.97650908,0.6800894,0.71629442,0.67844644,0.87501373,0.81150356,153.604611,0.9286543,0.76887346,0.58786834,0.47515073,0.4839134,4.218,12.666,6.979,5.546942158,-19.23572809,0.949677338,20.18540543,348.197,15.0085635,15.1036453,0
0.6,0.32,0.1,0.1,0.2,100,0.8874162,0.71940921,1.3277095,1.15106028,0.194814724,0.97650908,0.6800894,0.71629442,0.67844644,0.87501373,0.81150356,153.604611,0.9286543,0.76887346,0.58786834,0.47515073,0.4839134,4.218,12.666,6.979,5.546942158,-19.23572809,0.949677338,20.18540543,348.197,15.0085635,15.1036453,0
0.6,0.32,0.1,0.1,0.2,50,0.8874162,0.71940921,1.3277095,1.15106028,0.194814724,0.97650908,0.6800894,0.71629442,0.67844644,0.87501373,0.81150356,153.604611,0.9286543,0.76887346,0.58786834,0.47515073,0.4839134,4.218,12.666,6.979,5.546942158,-19.23572809,0.949677338,20.18540543,348.197,15.0085635,15.1036453,0
0.72,0.24,0.02,0.01,0.01,200,0.88030425,0.69286388,1.3412017,1.15127375,0.311547854,0.9471035,0.71082822,0.69421835,0.66643022,0.7873109,0.67926066,159.393005,0.84348148,0.77271268,0.44488739,0.343540805,0.499982335,4.3745,11.217,8.247,6.29475027,-19.39627526,4.590560658,23.98683592,328.428,15.6721963,15.9315308,0
0.72,0.24,0.02,0.01,0.01,50,0.88030425,0.69286388,1.3412017,1.15127375,0.311547854,0.9471035,0.71082822,0.69421835,0.66643022,0.7873109,0.67926066,159.393005,0.84348148,0.77271268,0.44488739,0.343540805,0.499982335,4.3745,11.217,8.247,6.29475027,-19.39627526,4.590560658,23.98683592,328.428,15.6721963,15.9315308,0
0.72,0.24,0.02,0.01,0.01,100,0.88030425,0.69286388,1.3412017,1.15127375,0.311547854,0.9471035,0.71082822,0.69421835,0.66643022,0.7873109,0.67926066,159.393005,0.84348148,0.77271268,0.44488739,0.343540805,0.499982335,4.3745,11.217,8.247,6.29475027,-19.39627526,4.590560658,23.98683592,328.428,15.6721963,15.9315308,0
0.72,0.24,0.02,0.01,0.01,150,0.88030425,0.69286388,1.3412017,1.15127375,0.311547854,0.9471035,0.71082822,0.69421835,0.66643022,0.7873109,0.67926066,159.393005,0.84348148,0.77271268,0.44488739,0.343540805,0.499982335,4.3745,11.217,8.247,6.29475027,-19.39627526,4.590560658,23.98683592,328.428,15.6721963,15.9315308,0
0.72,0.24,0.02,0.01,0.01,200,0.804903,0.86516598,1.1561621,1.09280234,0.234819224,0.95284533,0.60877768,0.62666958,0.59947614,0.84370749,0.71124101,162.886769,0.61764344,0.74162537,0.41695312,0.37849724,0.41642264,2.7745,9.143,4.088,5.73510309,-19.80444604,10.16073118,15.73362284,337.72,16.0476988,16.0621033,1
0.72,0.24,0.02,0.01,0.01,50,0.804903,0.86516598,1.1561621,1.09280234,0.234819224,0.95284533,0.60877768,0.62666958,0.59947614,0.84370749,0.71124101,162.886769,0.61764344,0.74162537,0.41695312,0.37849724,0.41642264,2.7745,9.143,4.088,5.73510309,-19.80444604,10.16073118,15.73362284,337.72,16.0476988,16.0621033,1
